customer_id,full_name,phone,email,birth_date,city,segment,registration_date,status
45,Прохорова Ираида Алексеевна,455022961201,ddjachkov@example.com,1998-05-10,Atyrau,mass,2025-05-12,active
46,Виктория Валериевна Симонова,476797643815,evfrosinija97@example.net,1981-11-13,Almaty,premium,2025-03-18,blocked
47,Антонов Еремей Викентьевич,510762268388,vdementeva@example.org,1968-03-26,Karaganda,mass,2026-04-01,active
48,Michelle Butler,,tfadeeva@example.net,1967-02-11,Astana,premium,2025-08-21,inactive
49,Григорьева Любовь Макаровна,124329212779,michelle52@example.com,1975-08-19,Almaty,mass,2021-09-15,inactive
50,Афанасий Ефстафьевич Суворов,054119986798,marcalvarez@example.org,1986-01-08,Atyrau,mass,2025-04-22,inactive
51,Захарова Алина Ефимовна,889255466590,valentin_86@example.com,1985-04-01,Karaganda,premium,2026-03-28,active
52,Ксения Никифоровна Титова,865281685054,tamara_73@example.org,1996-09-21,Almaty,affluent,2022-12-29,blocked
53,Потапова Светлана Антоновна,962229270653,pyoung@example.com,1972-10-31,Almaty,affluent,2025-07-19,inactive
54,Douglas Reyes,392407581814,radim82@example.com,2004-04-16,Astana,mass,2023-03-02,blocked
55,Jennifer Sanders,615305152204,prohor2004@example.org,2006-01-27,Karaganda,mass,2025-05-30,active
56,Dwayne Turner,697117980893,,1977-01-27,Karaganda,mass,2024-01-26,blocked
57,Joseph Romero,706540515319,kazakovasofija@example.com,1974-03-12,Atyrau,affluent,2023-12-11,blocked
58,Robin Brown,430305486874,,2001-03-15,Astana,mass,2026-03-25,active
59,Jasmine Beltran,584161692845,vera_44@example.com,1999-11-24,Shymkent,premium,2025-10-10,active
60,Сысоева Людмила Юрьевна,,,1973-04-29,Almaty,premium,2023-01-31,blocked
61,Лобанова Майя Никифоровна,,,1994-11-05,Almaty,affluent,2023-03-09,active
62,Michelle Pierce,225831323705,jlara@example.org,1973-07-30,Shymkent,mass,2026-04-24,active
63,Patricia Morrow,517785289226,miheevgerasim@example.com,1969-02-01,Karaganda,mass,2026-04-29,blocked
64,Danielle Reid,,fedorovaalina@example.net,1973-02-16,Karaganda,mass,2023-01-21,blocked
65,тов. Носков Ладислав Харлампьевич,471027677359,jessica56@example.org,1993-09-03,Astana,mass,2024-06-01,active
66,Jerry Thomas,696325953278,tyler16@example.net,1987-12-15,Astana,mass,2022-12-03,active
67,Горшков Эдуард Харитонович,162456506098,charles87@example.net,2006-12-04,Astana,mass,2024-03-29,blocked
68,Мартьян Иосифович Симонов,986800025787,,2000-12-27,Almaty,mass,2021-12-20,inactive
69,Alan Rivera,940974993097,lorraineallen@example.net,1991-04-06,Shymkent,mass,2024-11-13,active
70,Елизар Фадеевич Овчинников,283857865278,chelsea33@example.com,1974-05-04,Atyrau,affluent,2022-11-23,active
71,Емельянова Лариса Романовна,419866524041,,1975-10-09,Astana,affluent,2025-03-07,active
72,Агафонов Тарас Давидович,165712082677,justin01@example.net,2005-07-06,Astana,premium,2022-01-04,active
73,Демьян Алексеевич Дьячков,240049915478,melissamcdonald@example.org,1988-10-20,Almaty,mass,2025-11-22,active
74,Ширяев Лавр Георгиевич,685161227530,seanadams@example.com,1980-03-19,Shymkent,affluent,2024-07-26,inactive
75,Amy Wilson,,emiles@example.net,1990-10-15,Astana,mass,2022-08-19,active
76,Justin Brown,258713971870,pavel_1995@example.org,1998-04-28,Shymkent,premium,2023-12-15,active
77,Aaron Robinson,651801704622,ywest@example.com,1994-08-01,Almaty,premium,2024-12-10,active
78,Willie Long,004786863375,sharonhardy@example.org,1995-01-01,Atyrau,mass,2024-08-05,active
79,Виноградов Варлаам Александрович,306738302843,joel28@example.org,2000-04-28,Astana,mass,2024-05-26,active
80,Котова Тамара Святославовна,685662462873,lindamelendez@example.net,1978-12-12,Almaty,mass,2024-02-10,active
81,Matthew Nielsen,830469901398,mollycook@example.org,2006-12-21,Karaganda,mass,2023-04-08,active
82,Melissa Padilla,854678544587,,2005-09-08,Astana,affluent,2025-01-22,active
83,Соколова Иванна Тимуровна,235369378547,jessicabell@example.org,1979-06-21,Shymkent,mass,2024-02-20,inactive
84,Алла Александровна Тихонова,120387509977,ustin_1993@example.org,1974-01-21,Atyrau,affluent,2023-12-12,active
85,Susan Rodriguez,339845461567,ladimirzimin@example.org,1988-10-29,Almaty,affluent,2021-05-30,blocked
86,Adam Jackson,591803397401,,1970-04-03,Astana,mass,2023-03-19,inactive
87,David Davenport,621850163159,anthony47@example.com,1990-12-25,Shymkent,affluent,2025-12-21,active
88,Luke Yates,426265511047,andersonjacob@example.com,1981-04-09,Shymkent,affluent,2023-06-26,active
89,Шарова Лидия Натановна,661839826224,kthomas@example.com,1970-08-31,Shymkent,affluent,2023-02-04,active
90,David Weber,124065965756,ljubim93@example.com,1984-01-05,Atyrau,mass,2025-03-28,blocked
91,Mackenzie Faulkner,646519398280,kuzma2016@example.org,1973-10-14,Almaty,mass,2026-03-03,active
92,Герасим Федосьевич Вишняков,797968868058,komissarovipat@example.net,1994-08-04,Karaganda,mass,2024-06-29,inactive
93,Erin Hogan,143888993756,akim_71@example.com,1973-04-24,Karaganda,premium,2024-02-22,active
94,Мефодий Филиппович Шаров,571775140105,sofronzaharov@example.net,2004-12-27,Karaganda,mass,2021-11-27,active
95,Евгения Геннадиевна Кабанова,093796603341,dorofe_1990@example.org,1980-03-24,Shymkent,mass,2026-02-13,active
96,Lisa Matthews,792499125134,iraida_28@example.com,1971-02-11,Atyrau,affluent,2023-12-19,active
97,Melissa Brewer,742257905072,,1991-05-18,Karaganda,mass,2023-06-10,inactive
98,Кир Давидович Беляков,797881914858,veronicagarcia@example.net,1986-11-07,Almaty,mass,2024-02-25,inactive
99,Angie Grimes,395962923309,mariopadilla@example.com,1978-10-30,Karaganda,premium,2023-07-29,active
100,Wendy Camacho,325367294667,,2006-04-29,Almaty,premium,2022-01-01,active
101,Анна Робертовна Калашникова,863637454589,patricia00@example.org,1985-06-04,Karaganda,affluent,2022-12-17,active
102,тов. Медведева Василиса Кузьминична,,,1967-01-04,Karaganda,affluent,2023-07-14,inactive
103,Virginia Henderson,136111554262,feoktist_1970@example.net,1988-02-22,Astana,premium,2021-05-15,inactive
104,Эмилия Павловна Самойлова,121965652341,abbottdominique@example.com,1984-10-23,Shymkent,affluent,2024-06-19,inactive
105,Rachel Leon,613791805526,amy27@example.org,1988-01-27,Almaty,mass,2025-01-24,active
106,Марфа Сергеевна Дмитриева,618892414183,wwillis@example.net,1990-12-30,Karaganda,mass,2022-08-21,active
107,Беляев Платон Валентинович,421020275884,karamarks@example.net,1979-05-10,Astana,mass,2024-12-22,active
108,Austin Joseph,785079252419,avde_1972@example.org,1998-09-22,Atyrau,premium,2023-01-01,active
109,Кондратьев Анатолий Федосеевич,365419518023,dkudrjavtsev@example.com,1968-04-04,Karaganda,mass,2023-03-29,blocked
110,Лазарь Демьянович Суворов,383206038505,dalton83@example.com,1980-01-27,Shymkent,mass,2021-05-13,inactive
111,Жуков Спиридон Фадеевич,191826199062,,2006-09-11,Atyrau,affluent,2024-11-19,blocked
112,Фаина Борисовна Степанова,775618537474,,1977-09-30,Atyrau,mass,2026-01-16,active
113,Марфа Степановна Васильева,206788317121,vladislavlazarev@example.com,1975-05-11,Shymkent,premium,2022-01-24,active
114,Angela Osborn,215107029667,,1995-02-24,Karaganda,affluent,2024-03-27,active
115,Чернова Надежда Тимуровна,146263838065,roberta85@example.com,1978-01-29,Almaty,mass,2021-07-01,inactive
116,Ирина Аркадьевна Корнилова,932133480396,frolovhristofor@example.com,1973-11-17,Almaty,mass,2024-04-23,inactive
117,Kristy Hart,842701039308,juri_32@example.com,2004-09-17,Shymkent,premium,2024-11-04,active
118,Фомичева Вероника Вадимовна,569154522675,elizabetholsen@example.com,2004-11-30,Shymkent,mass,2021-08-15,inactive
119,Ульяна Никифоровна Якушева,959391725135,birjukovmark@example.com,1997-02-25,Shymkent,mass,2021-12-17,active
120,Brian Smith,626765861793,lloydarthur@example.org,1977-06-19,Almaty,mass,2024-10-16,active
121,Галина Анатольевна Хохлова,997062962015,jaksenova@example.net,1977-04-17,Astana,mass,2021-09-11,inactive
122,Ульян Эдгардович Степанов,061497310324,parkerraymond@example.com,1994-01-26,Astana,premium,2022-07-07,active
123,Jeremy Baker,349021158693,hnesterova@example.com,1970-02-26,Karaganda,mass,2022-04-01,active
124,Ананий Юлианович Дроздов,,renee11@example.com,1990-05-19,Almaty,mass,2023-09-16,blocked
125,Юлия Эдуардовна Галкина,622999119148,,1989-07-06,Atyrau,mass,2023-12-04,active
126,Steve Rivera,745054447132,joseph69@example.net,1967-11-25,Astana,mass,2023-05-05,active
127,Olivia Camacho,148628902330,antip2021@example.net,1974-03-21,Almaty,affluent,2025-11-22,active
128,Журавлева Маргарита Рудольфовна,798552414060,zinovilarionov@example.org,1977-10-31,Shymkent,mass,2023-11-07,blocked
129,Влас Всеволодович Моисеев,494466574374,smithyvonne@example.com,1993-09-10,Atyrau,premium,2025-08-25,active
130,Margaret Hensley MD,283096520744,ldoyle@example.net,1978-11-11,Atyrau,mass,2023-09-26,inactive
131,Megan Romero,417248251353,nathan94@example.com,1980-09-27,Shymkent,affluent,2024-10-03,blocked
132,Беспалова Марина Станиславовна,022356972521,lawrencebrown@example.com,1986-02-02,Karaganda,mass,2023-09-08,active
133,Бронислав Васильевич Горбачев,667600835058,isaevazinaida@example.org,1975-02-13,Almaty,mass,2024-03-16,inactive
134,Rodney Evans,898562575326,vlassobolev@example.net,1979-06-08,Karaganda,premium,2023-03-30,active
135,Ираклий Анисимович Кириллов,001676184723,qstanley@example.net,1991-02-03,Astana,premium,2021-12-10,active
136,Орехова Варвара Ильинична,739348356420,haleycastillo@example.org,1992-06-25,Shymkent,affluent,2023-06-03,active
137,Brandon Hunt,374470120455,jakushevanikita@example.org,1966-11-11,Astana,mass,2025-11-10,active
138,Debra Quinn,216674676212,aksenovharlampi@example.com,1994-03-09,Astana,premium,2022-12-20,inactive
139,Василиса Романовна Русакова,670145089935,ukonovalova@example.org,1973-12-09,Shymkent,mass,2025-03-22,inactive
140,Колобов Глеб Юльевич,217535408386,ribakovprokl@example.net,1980-11-05,Karaganda,mass,2022-01-25,inactive
141,Акулина Борисовна Маслова,880199488375,radovansuhanov@example.net,1970-01-09,Karaganda,mass,2023-07-24,active
142,Прохоров Ефрем Ааронович,488510272614,vissarionteterin@example.com,1996-06-04,Shymkent,mass,2024-11-26,active
143,Алина Эдуардовна Ильина,982708086978,orlovnikanor@example.net,1985-07-10,Karaganda,mass,2024-11-28,active
144,Мефодий Ерофеевич Савельев,698485833394,ovchinnikovtit@example.net,1987-07-02,Karaganda,affluent,2023-06-02,blocked
145,Stephanie Ferguson,810620034244,elizar80@example.com,1996-02-28,Astana,mass,2024-02-20,active
146,Richard Lindsey,666580043973,kuprijantretjakov@example.org,1970-08-19,Karaganda,mass,2025-01-14,active
147,Пахом Елисеевич Наумов,294057202590,jtyler@example.com,1974-03-07,Shymkent,mass,2024-12-31,inactive
148,Устинова Прасковья Валериевна,153355543987,agafonovmilan@example.com,1999-04-04,Shymkent,premium,2023-12-14,inactive
149,Robert Wilson,085887704358,litkintimofe@example.net,2004-04-24,Almaty,mass,2026-02-13,inactive
150,Наталья Борисовна Ершова,207501102481,orest67@example.net,1992-08-28,Atyrau,mass,2024-09-04,blocked
151,Носкова Юлия Афанасьевна,581449147660,efim_1977@example.com,1984-07-06,Astana,affluent,2023-04-10,active
152,Alexandra Baxter,009968814353,gerasimovefrem@example.net,2006-08-26,Karaganda,premium,2022-10-25,blocked
153,Таисия Рубеновна Юдина,141397552314,lukjanmartinov@example.com,1974-06-27,Karaganda,premium,2024-09-05,inactive
154,Громова Лариса Олеговна,533645257775,thompsoncatherine@example.com,1992-03-18,Karaganda,premium,2024-10-16,active
155,Рожкова Акулина Сергеевна,930848872563,stevendixon@example.com,2003-10-05,Almaty,mass,2022-08-22,active
156,Вера Петровна Яковлева,750373145303,dharrison@example.org,1987-06-02,Astana,mass,2025-07-26,blocked
157,Deborah Stephens,659184638655,shawdon@example.org,2007-07-06,Atyrau,affluent,2021-11-03,inactive
158,Елисеев Викторин Давыдович,177739260302,evdokimovsolomon@example.org,1969-07-25,Shymkent,premium,2022-05-20,active
159,Kristy Smith,379772369292,,1968-09-03,Karaganda,mass,2025-12-09,inactive
160,Самойлов Силантий Федосеевич,279908811729,avinogradova@example.com,1975-12-24,Astana,mass,2021-12-26,active
161,Jane Chapman,247314986430,averjan_1991@example.org,1995-08-17,Shymkent,affluent,2022-06-22,blocked
162,Joshua Cunningham,,qfitzgerald@example.org,1983-07-01,Atyrau,mass,2022-02-05,inactive
163,Rebecca Mendez,,zdoronina@example.net,1985-01-30,Atyrau,premium,2021-10-29,active
164,Быкова Агафья Геннадьевна,098839205302,,1996-03-19,Shymkent,affluent,2026-01-20,active
165,Kristin Aguilar,393769042681,kuprijan_1989@example.org,1988-01-27,Karaganda,affluent,2025-12-03,active
166,Patricia Todd,,ipat41@example.com,2003-02-14,Shymkent,affluent,2024-10-18,active
167,Kenneth White,333433339521,juri1970@example.net,1969-07-09,Karaganda,premium,2023-09-16,active
168,Sierra Andrews,284639208678,xdalton@example.org,2001-12-10,Atyrau,mass,2024-06-05,inactive
169,Никитин Натан Бориславович,942843479552,robertgoodwin@example.com,2007-05-04,Almaty,mass,2022-11-26,active
170,Ираида Егоровна Наумова,322702672885,anna90@example.com,1978-01-26,Atyrau,affluent,2024-03-07,active
171,Mark Cole,558845061593,mina58@example.com,1995-04-30,Shymkent,mass,2022-05-27,inactive
172,Brianna Jackson,996112535544,pam59@example.net,2003-09-09,Almaty,affluent,2024-05-24,inactive
173,Нестерова Зоя Артемовна,611178006811,lapinnikita@example.com,1983-09-18,Shymkent,affluent,2025-08-06,inactive
174,Дьячков Данила Аксёнович,577848728299,regina78@example.org,1976-09-19,Astana,mass,2023-07-17,blocked
175,Август Венедиктович Коновалов,807740649308,justinova@example.com,1984-11-19,Atyrau,mass,2023-05-22,active
176,Панфил Демидович Михеев,,malikhernandez@example.net,1976-10-27,Astana,mass,2025-06-20,active
177,Артемьева Агафья Евгеньевна,073564757051,fekla61@example.net,1974-02-19,Almaty,mass,2022-09-26,active
178,Комиссаров Ипат Теймуразович,037183764520,svetozar43@example.com,1973-12-14,Astana,premium,2025-05-31,active
179,Большакова Агафья Викторовна,630097925132,svetlana_00@example.com,2002-08-07,Atyrau,premium,2026-03-12,active
180,Федосий Изотович Константинов,065240778487,milen_1988@example.com,1995-10-13,Astana,affluent,2021-12-14,blocked
181,Каллистрат Иосифович Панов,209593518638,ljubomir65@example.org,2002-10-07,Almaty,mass,2021-09-01,inactive
182,Морозов Егор Борисович,109678994053,teterinaevfrosinija@example.net,1988-04-19,Shymkent,mass,2021-07-17,active
183,Павел Исидорович Евсеев,801413811386,varvara_1984@example.net,2005-04-26,Karaganda,premium,2023-09-01,active
184,Michele Simmons,286852897558,bduran@example.net,1989-10-12,Shymkent,affluent,2025-01-21,blocked
185,Jesse Moyer,490824043350,,1991-11-18,Astana,mass,2023-03-15,blocked
186,Корнилов Ладимир Бенедиктович,157279194096,milen_66@example.org,1972-02-21,Atyrau,mass,2025-10-10,active
187,Joseph Flores,832067998136,davidmiller@example.net,1997-09-23,Atyrau,premium,2024-06-30,active
188,Bianca Taylor,693898331465,agafonovostromir@example.com,1989-05-07,Karaganda,affluent,2021-10-01,active
189,Глафира Макаровна Горбачева,703352110392,iraida_14@example.com,1980-12-15,Atyrau,mass,2023-01-18,blocked
190,Галкин Исидор Харлампьевич,698042043940,kolesnikovkasjan@example.net,1967-04-13,Astana,premium,2025-01-10,active
191,James Bray,798123878003,tracy20@example.com,2002-08-17,Shymkent,mass,2022-10-15,blocked
192,Lori Johns,325621689363,tsilina@example.net,1981-04-02,Shymkent,affluent,2022-07-04,inactive
193,Зимина Евпраксия Валентиновна,,tali@example.com,1985-03-11,Atyrau,affluent,2022-05-11,active
194,Костин Яков Евстигнеевич,305172897526,frankperez@example.com,1972-09-16,Shymkent,mass,2021-11-10,active
195,Ангелина Вячеславовна Гущина,573660965699,velimir_1995@example.org,2005-03-12,Almaty,premium,2022-06-09,active
196,Михеева Алла Георгиевна,644726490827,,1988-02-10,Almaty,mass,2026-03-31,active
197,Егор Филиппович Тарасов,211175186892,taterhonda@example.net,1982-11-01,Astana,mass,2023-07-31,blocked
198,Леонид Филатович Дмитриев,230940777809,haritonprohorov@example.com,1973-02-18,Astana,mass,2022-03-21,active
199,Хохлов Клавдий Глебович,205020994510,evanmitchell@example.net,1983-07-21,Karaganda,mass,2024-05-01,inactive
200,Лидия Максимовна Самсонова,681472145868,kiselevauljana@example.net,2006-11-28,Atyrau,mass,2025-12-25,inactive
201,Kenneth Hanson,877293430107,csharapov@example.com,1986-08-22,Atyrau,mass,2023-06-18,blocked
202,Сидорова Ангелина Константиновна,015569902355,brewertimothy@example.net,1989-11-11,Shymkent,affluent,2021-05-19,active
203,Amy Meyer,395512405682,brookehancock@example.com,2003-10-17,Shymkent,premium,2023-08-21,active
204,Jacqueline Gallegos,842150317807,matvestrelkov@example.com,1996-02-20,Atyrau,mass,2023-05-25,active
205,Регина Владимировна Ершова,681040915701,lanelarry@example.org,1998-11-24,Shymkent,mass,2025-03-04,active
206,Megan Nelson,,georgecollins@example.com,1974-10-01,Shymkent,mass,2022-09-16,blocked
207,Зайцев Боян Федотович,997954538179,valeri1995@example.net,1968-06-16,Almaty,affluent,2023-09-06,inactive
208,Jenna Lyons,770171577245,,1986-02-02,Astana,affluent,2022-01-16,active
209,Jason Oliver,615396695832,vargassteven@example.net,1980-01-05,Shymkent,mass,2025-04-15,active
210,Brian Cervantes,701329022784,jamierich@example.com,2000-11-06,Shymkent,premium,2022-11-12,active
211,Lauren Carr DDS,058008514036,jennifer66@example.com,2004-11-25,Almaty,mass,2024-11-30,active
212,Heather Butler,201027621267,shawncoleman@example.com,1994-02-24,Astana,affluent,2022-01-08,active
213,Сазонова Жанна Сергеевна,895009751971,,1981-04-01,Astana,mass,2023-06-14,inactive
214,Stephanie Nichols,,sotobelinda@example.net,1976-08-16,Shymkent,mass,2024-09-29,inactive
215,Борис Валерьянович Селезнев,,josehaynes@example.com,1993-11-21,Astana,premium,2025-05-15,blocked
216,Фёкла Владиславовна Дьячкова,637239504102,vturner@example.net,1999-11-25,Almaty,mass,2023-01-15,blocked
217,Кудряшова Агафья Ильинична,580185694544,rmurray@example.net,1982-04-12,Shymkent,affluent,2023-09-13,inactive
218,Автоном Августович Никонов,618175344300,,1997-03-02,Almaty,mass,2023-12-04,inactive
219,Елисеев Владислав Матвеевич,244717465421,,2006-03-31,Karaganda,mass,2024-11-12,blocked
220,г-н Костин Никодим Вячеславович,286391741011,fsmith@example.org,2006-06-17,Atyrau,mass,2022-03-20,inactive
221,Laura Robertson,661830671985,pbrown@example.org,2005-07-04,Almaty,mass,2022-08-28,inactive
222,Donna Harris,346157173203,nikita1973@example.net,1988-10-12,Karaganda,mass,2021-09-22,inactive
223,Павлов Мартын Анатольевич,387829310270,vladislavpopov@example.org,1987-04-25,Karaganda,premium,2026-02-27,blocked
224,Ангелина Борисовна Андреева,136565198253,arseni_14@example.org,2004-04-27,Atyrau,mass,2023-08-10,inactive
225,Kevin Anderson,071002194672,,1973-05-20,Shymkent,mass,2024-02-04,active
226,Anita Serrano,608331819588,joshualee@example.org,1991-12-20,Astana,mass,2024-04-22,active
227,Громов Кондратий Глебович,,proklkapustin@example.net,1987-03-22,Shymkent,mass,2024-09-04,inactive
228,Валерьян Данилович Зиновьев,631797062397,,1983-12-05,Atyrau,mass,2022-06-23,active
229,Венедикт Фролович Рыбаков,534929298316,brittanyhood@example.com,1980-06-07,Almaty,mass,2024-10-14,active
230,Stephanie Vargas,600780686717,naumovagap@example.net,1996-12-26,Karaganda,mass,2022-07-25,active
231,Тарасова Акулина Романовна,799077262570,alyssa46@example.com,2006-03-22,Karaganda,mass,2023-02-12,active
232,Amy Dougherty,165790552818,izjaslav_81@example.net,1999-05-30,Karaganda,mass,2024-06-05,active
233,Карл Юлианович Федосеев,015577881788,lauren13@example.com,1997-04-18,Astana,affluent,2025-02-03,active
234,Егоров Вениамин Виленович,380468275670,lebedevignati@example.net,1969-09-10,Almaty,mass,2022-10-07,active
235,Mr. Joseph Kelley,924243754025,christinemartin@example.net,1983-08-14,Karaganda,mass,2024-08-09,active
236,Андреев Андроник Жоресович,452380552578,knapprichard@example.com,1973-12-25,Atyrau,affluent,2025-07-10,active
237,Elizabeth Kemp,517028140693,nguyencathy@example.org,2006-02-18,Shymkent,affluent,2022-02-08,blocked
238,Третьякова Анна Степановна,759980562656,mechislav54@example.com,1999-02-20,Karaganda,mass,2022-04-21,blocked
239,Donna Shaffer,299123478519,isakovairaida@example.com,1975-05-21,Almaty,mass,2025-01-12,inactive
240,John Carson,787300244714,zinaida2006@example.org,1989-09-02,Almaty,premium,2022-04-28,inactive
241,Денисова Фаина Романовна,715890429025,gremislav_04@example.com,1998-06-11,Karaganda,mass,2026-04-19,active
242,Taylor Palmer,928554451895,miheevkondrat@example.com,1993-01-18,Karaganda,affluent,2021-07-27,active
243,Никонова Евдокия Федоровна,711207545279,jenniferjohnson@example.org,1983-08-18,Shymkent,premium,2021-11-02,blocked
244,Carlos Miller,076031089071,antonovavtonom@example.org,1971-09-25,Almaty,affluent,2024-10-07,active
245,Шестаков Алексей Бенедиктович,955289389119,,2004-12-20,Atyrau,mass,2024-04-06,inactive
246,Kevin Gonzales,566383615171,sofija1990@example.com,2007-03-20,Shymkent,premium,2025-12-12,active
247,Noah Mcdaniel,864631752071,wilsonralph@example.net,1969-10-12,Astana,premium,2021-11-26,active
248,Чеслав Трофимович Ильин,749946579678,velimir1976@example.com,1997-06-19,Atyrau,mass,2021-08-25,active
249,Полина Алексеевна Лыткина,952499118773,iwagner@example.com,1976-01-08,Karaganda,affluent,2021-06-22,blocked
250,Лука Матвеевич Зуев,028427624671,kalvarez@example.net,2006-05-02,Shymkent,premium,2026-04-13,active
251,Heather Levine,,qbell@example.org,1982-10-06,Shymkent,mass,2024-04-12,blocked
252,Валерия Львовна Романова,076986407905,ashley71@example.net,1976-03-07,Atyrau,mass,2024-04-15,active
253,Jeffrey Crawford,440496391919,knightamanda@example.com,1980-06-08,Almaty,mass,2022-02-27,blocked
254,Elizabeth Alvarado,664987820829,karp2022@example.net,1980-11-29,Karaganda,affluent,2024-08-01,blocked
255,David Francis,651364424936,grigorevalekse@example.org,2005-07-31,Karaganda,mass,2023-12-09,active
256,Дорофеев Всемил Аксёнович,820700159416,uburova@example.org,1985-10-27,Shymkent,mass,2023-06-09,active
257,Brandon Greene DDS,963632123476,tvorimir1991@example.org,1971-01-11,Karaganda,premium,2023-12-08,active
258,Taylor Cox,090034864518,zsmith@example.com,1989-03-31,Almaty,mass,2024-09-27,blocked
259,Лариса Наумовна Вишнякова,177656124815,wneal@example.org,1970-02-12,Shymkent,mass,2022-10-24,active
260,Веселова Ульяна Артемовна,382965772429,christopherrichardson@example.com,1992-10-16,Karaganda,affluent,2021-05-04,active
