account_id,customer_id,product_type,currency,balance,opened_date,closed_date,status
ACC100079,42,salary,KZT,37738.68,2025-01-13,2025-12-15,closed
ACC100080,43,deposit,KZT,688478.41,2024-10-19,,active
ACC100081,43,debit,EUR,925914.28,2023-10-23,,active
ACC100082,43,deposit,KZT,750.8,2025-05-21,2025-06-14,closed
ACC100083,44,debit,KZT,455560.2,2026-03-11,,active
ACC100084,44,salary,EUR,1369294.7,2026-03-11,,active
ACC100085,45,salary,USD,997941.89,2026-04-14,,active
ACC100086,45,salary,KZT,106412.03,2025-08-01,,active
ACC100087,46,deposit,KZT,1255608.09,2026-01-10,,active
ACC100088,47,savings,USD,202244.05,2026-04-29,,active
ACC100089,47,deposit,USD,123011.86,2026-04-01,,active
ACC100090,47,debit,USD,31082.33,2026-04-18,2026-04-29,closed
ACC100091,48,debit,EUR,587495.92,2025-08-27,,active
ACC100092,48,salary,KZT,991671.77,2025-11-16,,active
ACC100093,48,debit,EUR,1005850.72,2025-09-20,,active
ACC100094,49,savings,EUR,120577.31,2021-10-24,,active
ACC100095,49,debit,USD,1320107.74,2025-04-17,,active
ACC100096,50,salary,EUR,32250.5,2025-06-17,2026-04-02,closed
ACC100097,50,salary,KZT,8977.4,2025-09-03,2025-10-10,closed
ACC100098,51,salary,KZT,16750.48,2026-04-02,2026-04-29,closed
ACC100099,51,debit,EUR,33333.18,2026-04-04,2026-04-14,closed
ACC100100,51,deposit,USD,2157.3,2026-03-30,2026-04-18,closed
ACC100101,52,deposit,USD,861552.48,2023-03-29,,active
ACC100102,53,savings,KZT,1057796.03,2025-09-14,,active
ACC100103,53,deposit,USD,712072.62,2025-10-08,,active
ACC100104,53,salary,EUR,477070.58,2025-12-15,,active
ACC100105,54,salary,USD,1982.9,2024-01-07,2026-01-01,closed
ACC100106,54,salary,EUR,468093.01,2025-01-21,,active
ACC100107,54,savings,KZT,1129182.04,2026-04-03,,active
ACC100108,55,debit,USD,462265.97,2025-07-29,,active
ACC100109,55,debit,KZT,23639.16,2025-08-04,2025-09-15,closed
ACC100110,56,deposit,KZT,1224992.53,2025-01-08,,active
ACC100111,56,debit,KZT,37820.65,2025-12-07,2025-12-11,closed
ACC100112,56,savings,KZT,188677.18,2024-08-23,,active
ACC100113,57,savings,KZT,382263.15,2025-11-16,,active
ACC100114,58,deposit,KZT,1398439.36,2026-04-17,,active
ACC100115,58,salary,KZT,20091.6,2026-03-30,2026-04-11,closed
ACC100116,59,salary,KZT,727279.42,2026-04-20,,active
ACC100117,60,savings,KZT,1088529.1,2026-01-30,,active
ACC100118,60,savings,KZT,395130.9,2025-12-22,,active
ACC100119,60,salary,KZT,1276409.63,2025-09-03,,active
ACC100120,61,deposit,EUR,1118014.26,2025-04-05,,active
ACC100121,61,deposit,KZT,12934.45,2023-08-30,2025-08-11,closed
ACC100122,61,debit,KZT,851093.63,2025-12-06,,active
ACC100123,62,debit,KZT,180.43,2026-04-24,,active
ACC100124,62,deposit,EUR,1121258.83,2026-04-25,,active
ACC100125,62,debit,EUR,699741.34,2026-04-28,,active
ACC100126,63,debit,EUR,1041111.91,2026-04-29,,active
ACC100127,63,deposit,EUR,1430087.98,2026-04-29,,active
ACC100128,64,salary,KZT,221577.33,2023-04-01,,active
ACC100129,64,debit,KZT,93642.89,2023-09-19,,active
ACC100130,65,savings,USD,542329.66,2026-04-20,,active
ACC100131,66,savings,EUR,29274.55,2024-07-27,2025-02-18,closed
ACC100132,67,debit,EUR,37265.54,2024-09-03,2025-11-18,closed
ACC100133,68,savings,KZT,204446.35,2023-01-28,,active
ACC100134,69,debit,EUR,164104.99,2025-05-08,,active
ACC100135,69,deposit,USD,173364.43,2025-06-01,,active
ACC100136,69,savings,USD,594364.72,2024-12-09,,active
ACC100137,70,salary,KZT,5854.16,2024-10-17,2026-04-23,closed
ACC100138,70,savings,KZT,42818.43,2023-04-30,2025-02-28,closed
ACC100139,70,savings,KZT,1440657.39,2024-09-19,,active
ACC100140,71,deposit,EUR,409065.5,2026-01-25,,active
ACC100141,71,deposit,USD,154584.43,2025-03-18,,active
ACC100142,72,savings,EUR,1259556.72,2023-01-05,,active
ACC100143,73,deposit,USD,447254.39,2025-11-26,,active
ACC100144,73,savings,KZT,26412.76,2026-02-02,2026-03-27,closed
ACC100145,74,savings,EUR,43904.04,2024-09-15,2026-04-21,closed
ACC100146,74,salary,EUR,40611.05,2024-10-11,2025-02-06,closed
ACC100147,74,salary,USD,1330666.37,2026-04-09,,active
ACC100148,75,debit,KZT,102038.18,2022-10-12,,active
ACC100149,75,salary,KZT,1386612.31,2025-10-22,,active
ACC100150,75,salary,USD,286980.83,2024-01-07,,active
ACC100151,76,deposit,USD,125974.13,2025-06-13,,active
ACC100152,77,salary,USD,39580.17,2025-02-21,2026-02-11,closed
ACC100153,77,debit,USD,1016960.68,2026-03-01,,active
ACC100154,78,debit,KZT,1155903.9,2025-07-20,,active
ACC100155,78,savings,EUR,56362.81,2025-03-08,,active
ACC100156,79,deposit,KZT,41866.37,2024-06-07,2024-12-29,closed
ACC100157,80,debit,KZT,100033.89,2026-02-14,,active
ACC100158,80,deposit,EUR,429451.84,2025-05-06,,active
ACC100159,81,debit,USD,121291.38,2024-06-02,,active
ACC100160,81,salary,EUR,8764.94,2023-12-15,2025-11-26,closed
ACC100161,82,debit,USD,9140.7,2026-03-11,2026-04-21,closed
ACC100162,82,debit,EUR,424817.34,2025-04-20,,active
ACC100163,82,deposit,EUR,26530.22,2025-07-18,,active
ACC100164,83,deposit,KZT,930081.15,2024-08-19,,active
ACC100165,84,salary,EUR,1249810.15,2025-10-15,,active
ACC100166,84,salary,KZT,1072399.93,2024-01-01,,active
ACC100167,85,salary,KZT,123932.15,2022-10-15,,active
ACC100168,85,deposit,KZT,456248.43,2023-10-08,,active
ACC100169,85,savings,KZT,459253.04,2025-08-21,,active
ACC100170,86,savings,KZT,23107.38,2024-11-18,2025-12-11,closed
ACC100171,86,savings,EUR,514291.35,2024-11-01,,active
ACC100172,86,savings,KZT,323988.43,2025-01-03,,active
ACC100173,87,savings,USD,8064.56,2026-02-15,2026-03-27,closed
ACC100174,87,savings,USD,638441.32,2026-01-28,,active
ACC100175,87,savings,KZT,683191.29,2026-03-09,,active
ACC100176,88,deposit,USD,390104.48,2024-03-09,,active
ACC100177,89,debit,KZT,38937.44,2025-03-30,2025-06-10,closed
ACC100178,89,salary,USD,1190927.31,2025-02-09,,active
ACC100179,90,debit,KZT,1042694.34,2026-03-20,,active
ACC100180,91,debit,KZT,2180.8,2026-04-21,2026-04-29,closed
ACC100181,91,savings,KZT,1133425.62,2026-04-19,,active
ACC100182,91,debit,KZT,545351.94,2026-04-19,,active
ACC100183,92,debit,EUR,1229920.59,2024-11-16,,active
ACC100184,92,deposit,EUR,82265.2,2025-01-30,,active
ACC100185,92,deposit,USD,1000424.7,2026-02-24,,active
ACC100186,93,salary,KZT,233238.54,2024-10-27,,active
ACC100187,93,deposit,USD,26128.52,2025-04-19,2025-12-14,closed
ACC100188,94,salary,KZT,44305.13,2026-04-06,2026-04-27,closed
ACC100189,94,salary,KZT,741391.18,2023-03-21,,active
ACC100190,95,salary,KZT,219641.86,2026-04-20,,active
ACC100191,96,salary,KZT,15606.77,2024-03-28,2024-07-12,closed
ACC100192,96,savings,KZT,1144548.91,2024-12-17,,active
ACC100193,96,salary,KZT,30655.67,2025-01-21,2026-01-16,closed
ACC100194,97,deposit,KZT,1463280.33,2026-01-07,,active
ACC100195,98,debit,KZT,272441.24,2025-06-08,,active
ACC100196,98,deposit,EUR,684812.15,2025-09-27,,active
ACC100197,98,salary,KZT,180310.02,2024-11-15,,active
ACC100198,99,savings,EUR,776005.17,2024-09-22,,active
ACC100199,99,debit,EUR,1131608.7,2025-10-10,,active
ACC100200,100,deposit,KZT,306124.86,2026-04-28,,active
ACC100201,100,deposit,EUR,1369316.49,2022-03-07,,active
ACC100202,101,deposit,USD,1309917.52,2023-05-28,,active
ACC100203,102,deposit,EUR,763918.45,2025-07-27,,active
ACC100204,102,deposit,KZT,450035.19,2023-10-23,,active
ACC100205,102,deposit,KZT,1013790.87,2026-04-22,,active
ACC100206,103,deposit,USD,960376.28,2022-04-04,,active
ACC100207,103,salary,KZT,1379587.39,2023-02-09,,active
ACC100208,103,deposit,EUR,612351.73,2022-02-23,,active
ACC100209,104,debit,USD,689978.14,2025-04-15,,active
ACC100210,105,salary,USD,148716.1,2025-07-07,,active
ACC100211,105,debit,EUR,1204856.64,2025-12-21,,active
ACC100212,106,deposit,EUR,843604.46,2024-08-14,,active
ACC100213,106,debit,KZT,129591.17,2023-05-10,,active
ACC100214,107,deposit,KZT,1100980.34,2026-03-12,,active
ACC100215,107,savings,EUR,41182.62,2025-09-22,2025-09-25,closed
ACC100216,108,salary,EUR,962605.23,2024-12-22,,active
ACC100217,108,salary,KZT,972210.77,2025-06-16,,active
ACC100218,108,salary,KZT,585520.56,2025-10-23,,active
ACC100219,109,deposit,KZT,49249.23,2025-11-29,2026-03-10,closed
ACC100220,110,savings,EUR,370155.51,2023-08-30,,active
ACC100221,110,debit,USD,1101662.11,2025-07-19,,active
ACC100222,111,savings,KZT,36713.08,2025-06-10,2026-03-01,closed
ACC100223,111,debit,KZT,744888.43,2025-03-30,,active
ACC100224,111,deposit,USD,6300.34,2024-11-23,2025-07-13,closed
ACC100225,112,savings,KZT,180642.19,2026-02-01,,active
ACC100226,112,savings,USD,1210366.63,2026-01-27,,active
ACC100227,112,salary,KZT,486943.48,2026-02-22,,active
ACC100228,113,debit,USD,47264.82,2022-04-10,2022-04-13,closed
ACC100229,114,debit,KZT,1156293.2,2024-08-22,,active
ACC100230,114,debit,KZT,36515.28,2025-12-23,2026-03-31,closed
ACC100231,115,salary,KZT,42543.87,2024-04-08,2024-06-14,closed
ACC100232,115,salary,USD,451364.93,2023-07-22,,active
ACC100233,115,debit,KZT,163872.16,2026-03-25,,active
ACC100234,116,deposit,KZT,538518.16,2026-04-03,,active
ACC100235,117,savings,USD,41154.27,2025-04-14,2025-10-24,closed
ACC100236,117,salary,KZT,1398601.62,2026-03-06,,active
ACC100237,117,deposit,KZT,20588.36,2025-12-30,2026-03-07,closed
ACC100238,118,salary,KZT,31496.87,2021-12-06,2022-04-08,closed
ACC100239,118,debit,USD,5532.46,2023-06-17,2025-06-01,closed
ACC100240,118,savings,USD,1356961.79,2023-04-12,,active
ACC100241,119,savings,KZT,1168052.82,2022-01-29,,active
ACC100242,119,salary,USD,42510.83,2025-11-03,2025-12-04,closed
ACC100243,119,debit,KZT,803536.55,2024-08-08,,active
ACC100244,120,deposit,EUR,665225.23,2026-04-13,,active
ACC100245,121,debit,EUR,194442.22,2025-04-23,,active
ACC100246,121,savings,EUR,6324.79,2026-04-18,2026-04-18,closed
ACC100247,121,salary,USD,1126722.61,2024-08-29,,active
ACC100248,122,debit,KZT,1333253.57,2024-01-30,,active
ACC100249,122,savings,KZT,14856.61,2023-06-29,2024-07-26,closed
ACC100250,123,savings,KZT,1276099.98,2025-06-28,,active
ACC100251,123,savings,EUR,13834.31,2025-01-18,2025-05-21,closed
ACC100252,123,salary,KZT,29086.61,2025-08-20,,active
ACC100253,124,salary,KZT,49865.67,2026-04-11,2026-04-14,closed
ACC100254,124,savings,USD,690296.75,2026-03-05,,active
ACC100255,125,deposit,KZT,848271.34,2023-12-08,,active
ACC100256,126,savings,KZT,48309.04,2023-08-07,2024-08-13,closed
ACC100257,126,savings,USD,1346739.99,2024-10-17,,active
ACC100258,127,savings,EUR,1435673.87,2026-01-04,,active
ACC100259,128,debit,KZT,976567.24,2024-10-09,,active
ACC100260,128,deposit,KZT,776733.51,2025-05-13,,active
ACC100261,129,deposit,EUR,16974.97,2026-01-01,2026-03-06,closed
ACC100262,130,savings,KZT,210576.53,2025-12-08,,active
ACC100263,130,debit,KZT,1468323.11,2024-08-06,,active
ACC100264,130,savings,KZT,18315.31,2025-04-22,,active
ACC100265,131,debit,KZT,199290.68,2025-08-21,,active
ACC100266,131,deposit,KZT,1016843.25,2024-10-27,,active
ACC100267,131,savings,USD,559402.81,2026-04-03,,active
ACC100268,132,salary,EUR,187909.79,2025-07-21,,active
ACC100269,133,deposit,USD,604379.08,2026-03-14,,active
ACC100270,134,salary,EUR,610647.3,2025-01-10,,active
ACC100271,134,deposit,USD,924499.14,2024-03-29,,active
ACC100272,134,salary,USD,1259430.72,2024-02-21,,active
ACC100273,135,savings,EUR,371444.54,2024-05-04,,active
ACC100274,135,salary,USD,24580.1,2023-09-25,2024-02-04,closed
ACC100275,136,deposit,KZT,133111.74,2026-04-15,,active
ACC100276,137,salary,KZT,12192.99,2025-12-24,2026-04-24,closed
ACC100277,137,debit,USD,904831.46,2025-12-12,,active
ACC100278,138,savings,USD,568683.05,2024-06-20,,active
ACC100279,138,salary,KZT,37808.72,2024-07-05,2025-09-22,closed
ACC100280,139,deposit,USD,1325765.03,2025-06-11,,active
ACC100281,140,deposit,USD,1481185.82,2022-11-23,,active
ACC100282,140,deposit,EUR,1465839.58,2023-02-27,,active
ACC100283,140,debit,EUR,1464174.12,2025-09-12,,active
ACC100284,141,savings,KZT,522640.93,2024-07-18,,active
ACC100285,141,deposit,KZT,1404042.21,2025-07-16,,active
ACC100286,142,salary,EUR,331543.87,2025-08-05,,active
ACC100287,142,savings,KZT,162891.44,2025-07-21,,active
ACC100288,142,salary,EUR,1268822.05,2025-04-03,,active
ACC100289,143,deposit,EUR,513214.25,2025-03-05,,active
ACC100290,143,deposit,KZT,40953.8,2025-12-17,2026-04-02,closed
ACC100291,144,savings,KZT,846845.25,2025-03-06,,active
ACC100292,145,deposit,EUR,146432.95,2024-03-25,,active
ACC100293,145,savings,KZT,36916.19,2024-06-01,2025-10-15,closed
ACC100294,146,debit,USD,1271566.27,2025-12-16,,active
ACC100295,146,savings,USD,1388618.88,2025-03-20,,active
ACC100296,147,savings,KZT,919686.05,2026-02-12,,active
ACC100297,147,deposit,EUR,1052693.3,2026-04-13,,active
ACC100298,147,salary,EUR,1328654.06,2025-12-08,,active
ACC100299,148,savings,KZT,45842.04,2024-07-09,2025-10-20,closed
ACC100300,148,debit,KZT,686268.57,2025-08-17,,active
ACC100301,148,debit,KZT,12550.85,2025-08-28,2026-01-03,closed
ACC100302,149,deposit,KZT,33463.2,2026-03-25,2026-04-25,closed
ACC100303,149,deposit,USD,514251.02,2026-04-23,,active
ACC100304,150,debit,KZT,1127296.76,2025-05-07,,active
ACC100305,151,salary,KZT,1076688.17,2024-03-06,,active
ACC100306,151,salary,KZT,1372708.24,2024-10-11,,active
ACC100307,151,deposit,USD,6551.78,2024-12-13,2025-01-08,closed
ACC100308,152,savings,KZT,536811.61,2024-05-21,,active
ACC100309,153,savings,EUR,1278271.87,2025-11-23,,active
ACC100310,153,debit,KZT,839382.55,2025-07-26,,active
ACC100311,153,salary,KZT,679334.43,2025-05-17,,active
ACC100312,154,salary,KZT,55555.23,2026-02-19,,active
ACC100313,155,savings,USD,37891.18,2024-01-03,2024-11-21,closed
ACC100314,155,deposit,KZT,1001280.61,2025-03-03,,active
ACC100315,156,salary,KZT,150324.29,2026-01-17,,active
ACC100316,156,deposit,EUR,11820.0,2026-03-03,,active
ACC100317,157,savings,USD,402831.89,2025-03-28,,active
ACC100318,157,salary,USD,48628.38,2023-12-21,2025-12-25,closed
ACC100319,158,deposit,USD,1245337.09,2024-05-27,,active
ACC100320,158,savings,KZT,1118409.46,2025-10-30,,active
ACC100321,158,salary,EUR,852734.44,2023-03-25,,active
ACC100322,159,deposit,USD,806583.32,2026-01-03,,active
ACC100323,159,savings,KZT,113796.1,2026-03-03,,active
ACC100324,160,deposit,KZT,422575.52,2024-02-26,,active
ACC100325,161,debit,EUR,1135806.8,2024-08-13,,active
ACC100326,161,savings,USD,695775.78,2025-11-17,,active
ACC100327,162,savings,EUR,48185.8,2026-04-12,2026-04-25,closed
ACC100328,163,deposit,KZT,368672.3,2024-10-24,,active
ACC100329,164,deposit,KZT,703936.59,2026-01-25,,active
ACC100330,164,salary,USD,746244.16,2026-02-08,,active
ACC100331,164,debit,EUR,36922.83,2026-03-08,2026-04-17,closed
ACC100332,165,salary,KZT,18767.28,2026-02-23,2026-04-09,closed
ACC100333,165,debit,KZT,607390.67,2026-02-25,,active
ACC100334,166,deposit,EUR,27694.96,2025-07-24,2025-10-07,closed
ACC100335,166,savings,USD,16646.95,2024-11-03,2025-08-23,closed
ACC100336,167,savings,KZT,39943.73,2026-01-26,2026-04-22,closed
ACC100337,167,debit,KZT,962153.74,2024-03-17,,active
ACC100338,167,debit,KZT,567108.7,2023-10-23,,active
ACC100339,168,deposit,USD,31619.05,2025-03-24,2025-08-05,closed
ACC100340,168,savings,EUR,1301125.32,2025-12-02,,active
ACC100341,168,debit,KZT,674129.64,2025-04-07,,active
ACC100342,169,deposit,USD,700960.49,2024-04-19,,active
ACC100343,169,deposit,KZT,684158.43,2024-07-20,,active
ACC100344,170,deposit,USD,58965.26,2025-11-22,,active
ACC100345,170,salary,EUR,489863.37,2024-07-21,,active
ACC100346,170,savings,EUR,19273.74,2025-03-09,2026-02-05,closed
ACC100347,171,savings,KZT,313281.0,2024-05-14,,active
ACC100348,172,salary,KZT,1291553.19,2025-04-14,,active
ACC100349,173,savings,KZT,346362.23,2025-10-09,,active
ACC100350,174,savings,EUR,35822.57,2024-07-01,2025-04-19,closed
ACC100351,174,debit,KZT,1373173.36,2025-09-19,,active
ACC100352,175,deposit,KZT,502729.77,2023-05-24,,active
ACC100353,176,salary,KZT,35415.99,2025-11-27,2026-02-07,closed
ACC100354,176,savings,KZT,268091.72,2026-01-25,,active
ACC100355,176,debit,KZT,1331992.18,2026-04-23,,active
ACC100356,177,deposit,USD,14290.33,2025-05-10,2025-09-09,closed
ACC100357,178,salary,KZT,993092.02,2026-03-01,,active
ACC100358,178,debit,KZT,30096.32,2026-03-03,2026-03-16,closed
ACC100359,178,savings,KZT,905975.14,2026-03-21,,active
ACC100360,179,savings,EUR,31160.37,2026-04-17,2026-04-26,closed
ACC100361,179,debit,KZT,131329.14,2026-04-02,,active
ACC100362,180,savings,KZT,1409490.0,2023-05-18,,active
ACC100363,180,savings,EUR,37359.14,2021-12-25,2024-08-02,closed
ACC100364,180,debit,USD,448763.57,2025-02-07,,active
ACC100365,181,salary,EUR,14427.53,2024-06-21,2026-04-14,closed
ACC100366,181,salary,KZT,1359308.88,2025-11-20,,active
ACC100367,182,debit,EUR,967814.35,2022-11-15,,active
ACC100368,182,savings,KZT,992193.64,2024-12-25,,active
ACC100369,182,debit,EUR,1396125.62,2025-03-27,,active
ACC100370,183,savings,KZT,1070748.12,2024-12-29,,active
ACC100371,183,debit,KZT,96377.9,2025-11-24,,active
ACC100372,183,savings,KZT,721167.23,2024-09-08,,active
ACC100373,184,deposit,USD,980850.71,2025-07-26,,active
ACC100374,184,debit,USD,40045.79,2025-08-03,2025-11-04,closed
ACC100375,184,savings,USD,185434.72,2025-08-17,,active
ACC100376,185,savings,EUR,227205.89,2024-01-18,,active
ACC100377,185,salary,KZT,207992.5,2023-05-05,,active
ACC100378,186,deposit,EUR,823397.68,2026-04-24,,active
ACC100379,186,savings,KZT,232944.16,2026-04-19,,active
ACC100380,187,salary,EUR,904487.15,2026-03-03,,active
ACC100381,188,savings,EUR,15901.65,2022-07-06,,active
ACC100382,189,savings,USD,1393053.45,2023-05-22,,active
ACC100383,189,savings,USD,42222.59,2025-07-12,,active
ACC100384,189,salary,EUR,522295.77,2026-04-23,,active
ACC100385,190,deposit,KZT,83984.77,2026-02-28,,active
ACC100386,191,debit,EUR,422419.97,2025-10-07,,active
ACC100387,191,deposit,KZT,41696.25,2022-12-27,2023-08-31,closed
ACC100388,192,deposit,KZT,31687.17,2025-08-29,2026-03-07,closed
ACC100389,192,salary,KZT,43438.66,2024-06-08,2024-06-29,closed
ACC100390,192,debit,KZT,35471.02,2023-03-04,2024-08-31,closed
ACC100391,193,debit,KZT,95045.63,2023-08-19,,active
ACC100392,194,deposit,USD,317398.89,2023-02-13,,active
ACC100393,194,deposit,KZT,173707.23,2025-11-14,,active
ACC100394,195,savings,KZT,479975.86,2022-08-02,,active
ACC100395,195,deposit,KZT,464993.65,2023-05-09,,active
ACC100396,196,debit,USD,628364.87,2026-04-23,,active
ACC100397,196,salary,KZT,758980.4,2026-04-11,,active
ACC100398,197,savings,KZT,1371551.86,2025-08-06,,active
ACC100399,197,debit,EUR,719051.93,2024-09-18,,active
ACC100400,198,savings,KZT,6343.9,2026-04-15,2026-04-20,closed
ACC100401,198,salary,USD,1307652.97,2023-05-14,,active
ACC100402,198,savings,USD,349397.11,2022-07-19,,active
ACC100403,199,debit,KZT,1292549.51,2025-02-01,,active
ACC100404,199,deposit,KZT,720477.82,2025-02-06,,active
ACC100405,199,savings,USD,212933.07,2026-03-08,,active
ACC100406,200,debit,EUR,297460.71,2026-01-16,,active
ACC100407,200,debit,USD,702670.69,2026-02-02,,active
ACC100408,200,savings,KZT,44694.01,2026-02-08,2026-04-24,closed
ACC100409,201,deposit,KZT,13193.36,2025-09-29,2025-11-29,closed
ACC100410,201,salary,KZT,337126.21,2025-07-11,,active
ACC100411,201,debit,KZT,877350.25,2025-06-21,,active
ACC100412,202,deposit,USD,996479.06,2025-06-17,,active
ACC100413,202,savings,KZT,36169.96,2025-03-30,2025-05-28,closed
ACC100414,203,savings,KZT,1224972.78,2024-11-13,,active
ACC100415,204,debit,KZT,821285.6,2024-01-14,,active
ACC100416,204,salary,KZT,993962.29,2024-08-01,,active
ACC100417,204,deposit,KZT,4817.68,2023-06-22,,active
ACC100418,205,debit,USD,541010.81,2025-09-19,,active
ACC100419,205,salary,KZT,1447646.83,2025-04-13,,active
ACC100420,205,debit,KZT,11910.41,2025-10-24,2026-02-05,closed
ACC100421,206,deposit,USD,1045775.41,2024-11-20,,active
ACC100422,206,salary,KZT,604467.15,2024-05-04,,active
ACC100423,206,debit,KZT,1337158.16,2024-12-30,,active
ACC100424,207,salary,EUR,815976.75,2024-06-07,,active
ACC100425,207,salary,KZT,674866.24,2025-03-27,,active
ACC100426,208,salary,EUR,1433402.93,2025-02-18,,active
ACC100427,209,salary,KZT,819223.28,2025-07-21,,active
ACC100428,209,savings,KZT,652151.92,2026-02-10,,active
ACC100429,210,deposit,KZT,60945.95,2024-05-04,,active
ACC100430,211,deposit,KZT,8310.45,2025-05-09,,active
ACC100431,211,debit,KZT,4999.81,2025-12-24,2026-03-24,closed
ACC100432,212,deposit,KZT,15449.99,2024-03-23,2025-01-24,closed
ACC100433,213,savings,KZT,552122.08,2025-05-17,,active
ACC100434,214,debit,EUR,16022.88,2026-04-13,2026-04-13,closed
ACC100435,214,deposit,KZT,196909.02,2024-10-20,,active
